Nome,Escolaridade,Número,Aptidão,Coligação
Lucimara Ferreira,Ensino Médio completo,17913,Deferido (Apto),PSL
Lucinha Lima,Superior incompleto,70987,Deferido (Apto),AVANTE
Julio Fuda,Superior completo,22678,Deferido (Apto),PR
Lucy Dias,Superior incompleto,50848,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Laerte Sonsin,Superior completo,22333,Deferido (Apto),PR
Lucy Paiva,Ensino Médio completo,40401,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Major Amaral,Superior completo,22196,Deferido (Apto),PR
Luis Alves,Ensino Médio completo,65656,Deferido (Apto),PC do B
Luis França,Ensino Médio completo,65000,Deferido (Apto),PC do B
Major Jaime,Superior completo,22190,Deferido (Apto),PR
Major Mauro,Superior completo,22035,Deferido (Apto),PR
Luiz Bia,Ensino Médio completo,70677,Deferido (Apto),AVANTE
Marcelo Manfrin,Superior completo,22522,Deferido (Apto),PR
Marcos Damasio,Superior completo,22222,Deferido (Apto),PR
Luiz Eduardo,Ensino Médio completo,12222,Deferido (Apto),PDT
Luiz Fábio,Ensino Médio completo,70001,Deferido (Apto),AVANTE
